Código;Nombre;Descripción;Precio;Stock;Foto;Ficha


6910HP290G2MT1GB;Ordenador HP 290 G2 MT TORRE GRADO B (Intel Core i5 8500 3.0Ghz/8GB/240SSD/DVDRW/W10P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 10 PRO<br /><br />Ordenador de Micro torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 8500 (Frecuencia base @ 3.0 Ghz 6 nucleos, Frecuencia turbo 4 nucleos @ 3.7 Ghz)<br />· Disco Duro     240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador   Grabadora de DVD<br />· Conexiones frontales     x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 2.0 x, x1 HDMI, x1 VGA, x1 RJ45, x3 Jack de audio (Line In/Out) <br />· Otras conexiones      X1 PCIE 16x,  X1 PCIE X1<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />;345;6;http://www.diginova.es/xweb3/fotoartic/art_6910hp290g2mt1gb_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910HP290G2MT1GB 
6910HP290G2MT2GB;Ordenador HP 290 G2 MT TORRE GRADO B (Intel Core i5 8500 3.0Ghz/8GB/240SSD/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />Ordenador de Micro torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 8500 (Frecuencia base @ 3.0 Ghz 6 nucleos, Frecuencia turbo 4 nucleos @ 3.7 Ghz)<br />· Disco Duro     240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador   Grabadora de DVD<br />· Conexiones frontales     x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 2.0 x, x1 HDMI, x1 VGA, x1 RJ45, x3 Jack de audio (Line In/Out) <br />· Otras conexiones      X1 PCIE 16x,  X1 PCIE X1<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />;325;1;http://www.diginova.es/xweb3/fotoartic/art_6910hp290g2mt2gb_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910HP290G2MT2GB 
6910HP600G4MT1GB;Ordenador HP 600 G4 MT TORRE GRADO B (Intel Core i5 8400 2.8Ghz/8GB/240SSD/NO-DVD/W10P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 10 PRO<br /><br />Ordenador de Micro torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 8400 (Frecuencia base @ 2.8 Ghz 6 nucleos, Frecuencia turbo 4 nucleos @ 4.0 Ghz)<br />· Disco Duro     240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador   NO<br />· Conexiones frontales     x2 USB 3.0, x2 USB 2.0 x1 Jack de audio, x1 USB C<br />· Conexiones traseras     x4 USB 3.0, x2 USB 2.0 x, x3 Displayport, x1 RJ45, x2 Jack de audio (Line In/Out)<br />· Otras conexiones      X1 PCIE 16x,  X2 PCIE X1, X1 PCIE X4, x1 puerto M.2<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />;299;31;http://www.diginova.es/xweb3/fotoartic/art_6910hp600g4mt1gb_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910HP600G4MT1GB 
6910HP800G5T1GAP;Ordenador Premium HP EliteDesk 800 G5 Torre (Intel Core i5 9500 3 GHz/16GB/512SSD/NO-DVD/W10H) NUEVO Preinstalado;ARTICULO PREMIUM. <br /><br />Todos nuestros artículos premium tienen un estado impecable, y pueden considerarse como nuevos.<br /><br />Son productos procedentes de excedentes de stock de grandes superficies o de exposición.<br /><br />Estos equipos incluyen licencia Windows 10 <br /><br />NUEVO<br /><br />Ordenador de TORRE<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 9500  (6 Nucleos 6 Hilos @ 3 Ghz, turbo @ 4.4Ghz)<br />· Gráficos             HD Intel 630<br />· Disco Duro       512GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Expansion disco  (2 3.5 o x2 de 2.5)<br />· Memorias         16GB DDR4 (4 ZOCALOS)<br />· Lector/Grabador   NO<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x2 USB 2.0, x4 USB 3.0, x2 DisplayPort, x1 RJ45, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras Conexiones Pci : 1x PCI Express 3.0 x16 /1x PCI Express 3.0 x4, 2x PCI x1<br /><br /><br /><br />- Sistema Operativo Windows 10 Preinstalado<br />- Incluyen caja original y cable de alimentacion.<br />- Testeados y 100% verificados;450;9;http://www.diginova.es/xweb3/fotoartic/art_6910hp800g5t1gap_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910HP800G5T1GAP 
6910LENV5201GA;Ordenador Lenovo V520 Torre GRADO A (Intel Core I5 6600K 3.5Ghz/8GB/240GB-M.2/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />Ordenador Torre<br /><br />GRADO A<br /><br />Especificaciones:<br /><br />· Marca                             Lenovo<br />· Procesador                     Intel core i5 6600K (4 nucleos @ 3.5 Ghz)<br />· Gráfica                           HD Intel 530<br />· Disco Duro                     240 GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador            NO<br />· Conexiones frontales     x4 USB 3.0, x2 Jack de audio Altavoces/Auriculares <br />· Conexiones traseras      x4 USB 3.0, x1 DISPLAYPORT, x1 HDMI , x1 VGA, x1 RJ45, x3 Jack de audio (In, Out, Microphone)<br />· Otras conexiones           (1) PCIe x16, (1) PCIe x1<br /><br /><br />- Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados<br />;175;1;http://www.diginova.es/xweb3/fotoartic/art_6910lenv5201ga_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910LENV5201GA 
6910LENV5201GB;Ordenador Lenovo V520 Torre GRADO B (Intel Core I5 6600K 3.5Ghz/8GB/240GB-M.2/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />Ordenador Torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca                             Lenovo<br />· Procesador                     Intel core i5 6600K (4 nucleos @ 3.5 Ghz)<br />· Gráfica                           HD Intel 530<br />· Disco Duro                     240 GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador            NO<br />· Conexiones frontales     x4 USB 3.0, x2 Jack de audio Altavoces/Auriculares <br />· Conexiones traseras      x4 USB 3.0, x1 DISPLAYPORT, x1 HDMI , x1 VGA, x1 RJ45, x3 Jack de audio (In, Out, Microphone)<br />· Otras conexiones           (1) PCIe x16, (1) PCIe x1<br /><br /><br />- Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados<br />;159;26;http://www.diginova.es/xweb3/fotoartic/art_6910lenv5201gb_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910LENV5201GB 

6910DP4901GB;Ordenador Dell Precision 490 TORRE FX3500 256MB GRADO B (Intel Xeon 5130 2.0Ghz/4GB/500GB/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon 5130  (2 nucleos @ 2.0Ghz)<br />· Gráfica dedicada                           Nvidia FX3500 de 256 MB<br />· Disco Duro                                     500GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      4GB DDR2<br />· Lector/Grabador                           Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x5 USB 2.0, x1 RJ45, 2x puerto serie, x2 Puerto paralelo, x2 Jack de audio, x2 PS2<br /><br /><br />- Incluyen cables de alimentación<br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados;65;3;http://www.diginova.es/xweb3/fotoartic/art_6910dp4901gb_1.jpg;http://www.diginova.es/xweb3/index.php?page=articulo&cod=6910DP4901GB 
